src,key1,key2,sortorder,firstbook,firstchapter,firstverse
"Hebrew","<B/","NA","pb","Exodus","19","9"
"Hebrew","<B=/","NA","pb","Reges_I","7","6"
"Hebrew","<B==/","NA","pb","Jeremia","4","29"
"Hebrew","<BC[","qal","pbu","Joel","1","17"
"Hebrew","<BD/","NA","pbd","Genesis","9","25"
"Hebrew","<BD=/","NA","pbd","Ecclesiastes","9","1"
"Hebrew","<BD==/","NA","pbd","Judices","9","26"
"Hebrew","<BD>/","NA","pbda","Reges_I","4","6"
"Hebrew","<BD>L/","NA","pbdal","Jeremia","36","26"
"Hebrew","<BDH/","NA","pbde","Genesis","29","27"
"Hebrew","<BDH=/","NA","pbde","Genesis","26","14"
"Hebrew","<BDJ/","NA","pbdj","Esra","10","26"
"Hebrew","<BDJ>L/","NA","pbdjal","Chronica_I","5","15"
"Hebrew","<BDJH/","NA","pbdje","Obadia","1","1"
"Hebrew","<BDJHW/","NA","pbdjef","Reges_I","18","3"
"Hebrew","<BDT/","NA","pbdv","Esra","9","8"
"Hebrew","<BDWN/","NA","pbdfn","Judices","12","13"
"Hebrew","<BDWN=/","NA","pbdfn","Josua","21","30"
"Hebrew","<BD[","qal","pbd","Genesis","2","5"
"Hebrew","<BD_>DWM/","NA","pbd adfm","Samuel_II","6","10"
"Hebrew","<BD_MLK/","NA","pbd mlk","Jeremia","38","7"
"Hebrew","<BD_NGW/","NA","pbd ncf","Daniel","1","7"
"Hebrew","<BH[","qal","pbe","Deuteronomium","32","15"
"Hebrew","<BJ/","NA","pbj","Reges_I","7","26"
"Hebrew","<BR/","NA","pbt","Genesis","50","10"
"Hebrew","<BR=/","NA","pbt","Genesis","10","21"
"Hebrew","<BR=[","hit","pbt","Deuteronomium","3","26"
"Hebrew","<BRH/","NA","pbte","Samuel_II","19","19"
"Hebrew","<BRH=/","NA","pbte","Genesis","49","7"
"Hebrew","<BRJ/","NA","pbtj","Genesis","14","13"
"Hebrew","<BRJ=/","NA","pbtj","Chronica_I","24","27"
"Hebrew","<BRJM/","NA","pbtjm","Numeri","27","12"
"Hebrew","<BRN/","NA","pbtn","Josua","19","28"
"Hebrew","<BRNH/","NA","pbtne","Numeri","33","34"
"Hebrew","<BR[","qal","pbt","Genesis","12","6"
"Hebrew","<BT/","NA","pbv","Exodus","28","14"
"Hebrew","<BT[","piel","pbv","Micha","7","3"
"Hebrew","<BV=[","piel","pbi","Joel","2","7"
"Hebrew","<BVJV/","NA","pbiji","Habakuk","2","6"
"Hebrew","<BV[","qal","pbi","Deuteronomium","15","6"
"Hebrew","<BWR/","NA","pbft","Genesis","3","17"
"Hebrew","<BWR=/","NA","pbft","Josua","5","11"
"Hebrew","<BWT/","NA","pbfv","Leviticus","23","40"
"Hebrew","<BWT=/","NA","pbfv","Ezechiel","19","11"
"Hebrew","<BWV/","NA","pbfi","Deuteronomium","24","10"
"Hebrew","<C/","NA","pu","Jesaia","50","9"
"Hebrew","<C=/","NA","pu","Hosea","5","12"
"Hebrew","<C==/","NA","pu","Iob","9","9"
"Hebrew","<CC[","qal","puu","Psalmi","6","8"
"Hebrew","<CJR/","NA","pujt","Exodus","30","15"
"Hebrew","<CN/","NA","pun","Genesis","15","17"
"Hebrew","<CN=/","NA","pun","Exodus","20","18"
"Hebrew","<CN==/","NA","pun","Josua","15","42"
"Hebrew","<CN[","qal","pun","Exodus","19","18"
"Hebrew","<CQ/","NA","pus","Leviticus","5","23"
"Hebrew","<CQ=/","NA","pus","Chronica_I","8","39"
"Hebrew","<CQH/","NA","puse","Jesaia","38","14"
"Hebrew","<CQ[","qal","pus","Leviticus","5","21"
"Hebrew","<CR/","NA","put","Genesis","31","16"
"Hebrew","<CR[","qal","put","Hosea","12","9"
"Hebrew","<CT/","NA","puv","Canticum","5","14"
"Hebrew","<CT=[","qal","puv","Jeremia","5","28"
"Hebrew","<CTJ/","NA","puvj","Exodus","26","7"
"Hebrew","<CTNT/","NA","puvnv","Psalmi","146","4"
"Hebrew","<CTRT/","NA","puvtv","Judices","2","13"
"Hebrew","<CTRT=/","NA","puvtv","Deuteronomium","7","13"
"Hebrew","<CTRT==/","NA","puvtv","Reges_I","11","5"
"Hebrew","<CTRWT/","NA","puvtfv","Deuteronomium","1","4"
"Hebrew","<CTRTJ/","NA","puvtvj","Chronica_I","11","44"
"Hebrew","<CTRT_QRNJM/","NA","puvtv stnjm","Genesis","14","5"
"Hebrew","<CTWT/","NA","puvfv","Iob","12","5"
"Hebrew","<CT[","hit","puv","Jona","1","6"
"Hebrew","<CWQ/","NA","pufs","Jeremia","22","3"
"Hebrew","<CWQJM/","NA","pufsjm","Amos","3","9"
"Hebrew","<CWT/","NA","pufv","Ezechiel","27","19"
"Hebrew","<CWT=/","NA","pufv","Chronica_I","7","33"
"Hebrew","<D","NA","pd","Genesis","3","19"
"Hebrew","<D/","NA","pd","Exodus","15","18"
"Hebrew","<D<DH/","NA","pdpde","Josua","15","22"
"Hebrew","<D=/","NA","pd","Genesis","31","44"
"Hebrew","<D==/","NA","pd","Genesis","49","27"
"Hebrew","<DW>/","NA","pdfa","Reges_I","4","14"
"Hebrew","<DCH/","NA","pdue","Genesis","25","34"
"Hebrew","<DH/","NA","pde","Exodus","12","3"
"Hebrew","<DH=/","NA","pde","Genesis","21","30"
"Hebrew","<DH==/","NA","pde","Jesaia","64","5"
"Hebrew","<DH===/","NA","pde","Genesis","4","19"
"Hebrew","<DH=[","qal","pde","Iob","28","8"
"Hebrew","<DH[","qal","pde","Jesaia","61","10"
"Hebrew","<DJ/","NA","pdj","Exodus","33","4"
"Hebrew","<DJ>L/","NA","pdjal","Chronica_I","4","36"
"Hebrew","<DJH/","NA","pdje","Reges_II","22","1"
"Hebrew","<DJHW/","NA","pdjef","Chronica_II","23","1"
"Hebrew","<DJN/","NA","pdjn","Jesaia","47","8"
"Hebrew","<DJN=/","NA","pdjn","Esra","2","15"
"Hebrew","<DJN>/","NA","pdjna","Chronica_I","11","42"
"Hebrew","<DJNW/","NA","pdjnf","Samuel_II","23","8"
"Hebrew","<DJTJM/","NA","pdjvjm","Josua","15","36"
"Hebrew","<DLJ/","NA","pdlj","Chronica_I","27","29"
"Hebrew","<DLM/","NA","pdlm","Josua","12","15"
"Hebrew","<DLMJ/","NA","pdlmj","Genesis","38","1"
"Hebrew","<DN","NA","pdn","Ecclesiastes","4","3"
"Hebrew","<DN/","NA","pdn","Samuel_II","1","24"
"Hebrew","<DN=/","NA","pdn","Genesis","2","8"
"Hebrew","<DN==/","NA","pdn","Chronica_II","29","12"
"Hebrew","<DN===/","NA","pdn","Reges_II","19","12"
"Hebrew","<DN>/","NA","pdna","Esra","10","30"
"Hebrew","<DNH","NA","pdne","Ecclesiastes","4","2"
"Hebrew","<DNH/","NA","pdne","Genesis","18","12"
"Hebrew","<DNH=/","NA","pdne","Chronica_II","17","14"
"Hebrew","<DNX/","NA","pdnh","Chronica_I","12","21"
"Hebrew","<DN[","hit","pdn","Nehemia","9","25"
"Hebrew","<DP[","qal","pdq","Exodus","16","23"
"Hebrew","<DR/","NA","pdt","Genesis","29","2"
"Hebrew","<DR=/","NA","pdt","Josua","15","21"
"Hebrew","<DR==/","NA","pdt","Chronica_I","23","23"
"Hebrew","<DR===/","NA","pdt","Chronica_I","8","15"
"Hebrew","<DR==[","qal","pdt","Chronica_I","12","34"
"Hebrew","<DR=[","nif","pdt","Jesaia","5","6"
"Hebrew","<DRJ>L/","NA","pdtjal","Samuel_I","18","19"
"Hebrew","<DR[","nif","pdt","Samuel_I","30","19"
"Hebrew","<DW/","NA","pdf","Sacharia","1","1"
"Hebrew","<DWT/","NA","pdfv","Exodus","16","34"
"Hebrew","<FB/","NA","pub","Genesis","1","11"
"Hebrew","<FH>L/","NA","pueal","Samuel_II","2","18"
"Hebrew","<FH[","qal","pue","Genesis","1","7"
"Hebrew","<FJ>L/","NA","pujal","Chronica_I","4","35"
"Hebrew","<FJH/","NA","puje","Reges_II","22","12"
"Hebrew","<FJRJ/","NA","pujtj","Genesis","8","5"
"Hebrew","<FQ/","NA","pus","Genesis","26","20"
"Hebrew","<FQ[","hit","pus","Genesis","26","20"
"Hebrew","<FR/","NA","put","Genesis","7","11"
"Hebrew","<FR=/","NA","put","Genesis","5","14"
"Hebrew","<FRH/","NA","pute","Genesis","5","8"
"Hebrew","<FRH=/","NA","pute","Genesis","18","32"
"Hebrew","<FRJM/","NA","putjm","Genesis","6","3"
"Hebrew","<FRWN/","NA","putfn","Exodus","29","40"
"Hebrew","<FR[","qal","put","Samuel_I","8","15"
"Hebrew","<FW/","NA","puf","Genesis","25","25"
"Hebrew","<FWR/","NA","puft","Genesis","24","55"
"Hebrew","<GBH/","NA","pcbe","Ezechiel","23","11"
"Hebrew","<GBJM/","NA","pcbjm","Ezechiel","33","31"
"Hebrew","<GB[","qal","pcb","Jeremia","4","30"
"Hebrew","<GH/","NA","pce","Genesis","18","6"
"Hebrew","<GJL/","NA","pcjl","Numeri","31","50"
"Hebrew","<GL/","NA","pcl","Exodus","32","4"
"Hebrew","<GL=/","NA","pcl","Reges_I","7","23"
"Hebrew","<GLH/","NA","pcle","Genesis","15","9"
"Hebrew","<GLH=/","NA","pcle","Genesis","45","19"
"Hebrew","<GLH==/","NA","pcle","Samuel_II","3","5"
"Hebrew","<GLT_CLCJH/","NA","pclv uluje","Jesaia","15","5"
"Hebrew","<GLWN/","NA","pclfn","Josua","10","3"
"Hebrew","<GLWN=/","NA","pclfn","Judices","3","12"
"Hebrew","<GM[","qal","pcm","Iob","30","25"
"Hebrew","<GN[","nif","pcn","Ruth","1","13"
"Hebrew","<GWR/","NA","pcft","Jesaia","38","14"
"Hebrew","<J/","NA","pj","Jeremia","26","18"
"Hebrew","<J=/","NA","pj","Genesis","12","8"
"Hebrew","<JBL/","NA","pjbl","Deuteronomium","11","29"
"Hebrew","<JBL=/","NA","pjbl","Genesis","36","23"
"Hebrew","<JC/","NA","pju","Iob","38","32"
"Hebrew","<JH/","NA","pje","Nehemia","11","31"
"Hebrew","<JJM/","NA","pjjm","Numeri","33","45"
"Hebrew","<JJ_H<BRJM/","NA","pjj epbtjm","Numeri","21","11"
"Hebrew","<JLJ/","NA","pjlj","Chronica_I","11","29"
"Hebrew","<JLM/","NA","pjlm","Genesis","10","22"
"Hebrew","<JLWM/","NA","pjlfm","Chronica_II","33","7"
"Hebrew","<JN/","NA","pjn","Genesis","3","5"
"Hebrew","<JN=/","NA","pjn","Numeri","34","11"
"Hebrew","<JNJM/","NA","pjnjm","Genesis","38","14"
"Hebrew","<JNM/","NA","pjnm","Josua","15","34"
"Hebrew","<JNN/","NA","pjnn","Numeri","1","15"
"Hebrew","<JN[","qal","pjn","Samuel_I","18","9"
"Hebrew","<JN_<GLJM/","NA","pjn pcljm","Ezechiel","47","10"
"Hebrew","<JN_CMC/","NA","pjn umu","Josua","15","7"
"Hebrew","<JN_DWR/","NA","pjn dft","Josua","17","11"
"Hebrew","<JN_GDJ/","NA","pjn cdj","Josua","15","62"
"Hebrew","<JN_GNJM/","NA","pjn cnjm","Josua","15","34"
"Hebrew","<JN_HTNJN/","NA","pjn evnjn","Nehemia","2","13"
"Hebrew","<JN_MCPV/","NA","pjn muqi","Genesis","14","7"
"Hebrew","<JN_RGL/","NA","pjn tcl","Josua","15","7"
"Hebrew","<JN_RMWN/","NA","pjn tmfn","Josua","15","32"
"Hebrew","<JN_TPWX/","NA","pjn vqfh","Josua","17","7"
"Hebrew","<JN_XDH/","NA","pjn hde","Josua","19","21"
"Hebrew","<JN_XRD/","NA","pjn htd","Judices","7","1"
"Hebrew","<JN_XYWR/","NA","pjn hrft","Josua","19","37"
"Hebrew","<JP/","NA","pjq","Genesis","25","29"
"Hebrew","<JPH/","NA","pjqe","Amos","4","13"
"Hebrew","<JPH=/","NA","pjqe","Genesis","25","4"
"Hebrew","<JPH==/","NA","pjqe","Jesaia","60","6"
"Hebrew","<JPJ/","NA","pjqj","Jeremia","40","8"
"Hebrew","<JP[","qal","pjq","Judices","4","21"
"Hebrew","<JR/","NA","pjt","Genesis","4","17"
"Hebrew","<JR=/","NA","pjt","Genesis","32","16"
"Hebrew","<JR==/","NA","pjt","Genesis","49","11"
"Hebrew","<JR===/","NA","pjt","Jeremia","15","8"
"Hebrew","<JR====/","NA","pjt","Chronica_I","7","12"
"Hebrew","<JR>/","NA","pjta","Samuel_II","20","26"
"Hebrew","<JRD/","NA","pjtd","Genesis","4","18"
"Hebrew","<JRJ/","NA","pjtj","Chronica_I","7","7"
"Hebrew","<JRM/","NA","pjtm","Genesis","3","7"
"Hebrew","<JRM=/","NA","pjtm","Genesis","36","43"
"Hebrew","<JRW/","NA","pjtf","Chronica_I","4","15"
"Hebrew","<JR_CMC/","NA","pjt umu","Josua","19","41"
"Hebrew","<JR_HMLX/","NA","pjt emlh","Josua","15","62"
"Hebrew","<JR_NXC/","NA","pjt nhu","Chronica_I","4","12"
"Hebrew","<JT/","NA","pjv","Jesaia","10","28"
"Hebrew","<JV/","NA","pji","Genesis","15","11"
"Hebrew","<JVM/","NA","pjim","Judices","15","8"
"Hebrew","<JV[","qal","pji","Samuel_I","14","32"
"Hebrew","<JWN/","NA","pjfn","Reges_I","15","20"
"Hebrew","<KBJC/","NA","pkbju","Jesaia","59","5"
"Hebrew","<KBR/","NA","pkbt","Leviticus","11","29"
"Hebrew","<KBWR/","NA","pkbft","Genesis","36","38"
"Hebrew","<KCWB/","NA","pkufb","Psalmi","140","4"
"Hebrew","<KN/","NA","pkn","Josua","7","1"
"Hebrew","<KR/","NA","pkt","Chronica_I","2","7"
"Hebrew","<KRN/","NA","pktn","Numeri","1","13"
"Hebrew","<KR[","qal","pkt","Genesis","34","30"
"Hebrew","<KS/","NA","pko","Jesaia","3","18"
"Hebrew","<KSH/","NA","pkoe","Josua","15","16"
"Hebrew","<KS[","piel","pko","Jesaia","3","16"
"Hebrew","<KW/","NA","pkf","Judices","1","31"
"Hebrew","<KWR/","NA","pkft","Josua","7","24"
"Hebrew","<L","NA","pl","Genesis","1","2"
"Hebrew","<L/","NA","pl","Genesis","27","40"
"Hebrew","<L<[","piel","plp","Iob","39","30"
"Hebrew","<L=/","NA","pl","Genesis","27","39"
"Hebrew","<L>/","NA","pla","Chronica_I","7","39"
"Hebrew","<LG/","NA","plc","Jesaia","32","4"
"Hebrew","<LH/","NA","ple","Genesis","8","20"
"Hebrew","<LH=/","NA","ple","Genesis","3","7"
"Hebrew","<LH[","qal","ple","Genesis","2","6"
"Hebrew","<LJ/","NA","plj","Josua","15","19"
"Hebrew","<LJ=/","NA","plj","Proverbia","27","22"
"Hebrew","<LJ==/","NA","plj","Samuel_I","1","3"
"Hebrew","<LJH/","NA","plje","Judices","3","20"
"Hebrew","<LJL/","NA","pljl","Psalmi","12","7"
"Hebrew","<LJLH/","NA","pljle","Deuteronomium","22","14"
"Hebrew","<LJLJH/","NA","pljlje","Jeremia","32","19"
"Hebrew","<LJN/","NA","pljn","Chronica_I","1","40"
"Hebrew","<LJWN/","NA","pljfn","Genesis","14","18"
"Hebrew","<LJYT/","NA","pljrv","Habakuk","3","14"
"Hebrew","<LJZ/","NA","pljg","Jesaia","13","3"
"Hebrew","<LL=[","piel","pll","Iob","16","15"
"Hebrew","<LLWT/","NA","pllfv","Judices","8","2"
"Hebrew","<LL[","piel","pll","Leviticus","19","10"
"Hebrew","<LM/","NA","plm","Samuel_I","17","56"
"Hebrew","<LMH/","NA","plme","Genesis","24","43"
"Hebrew","<LMT/","NA","plmv","Chronica_I","6","45"
"Hebrew","<LMT=/","NA","plmv","Chronica_I","7","8"
"Hebrew","<LMWN/","NA","plmfn","Josua","21","18"
"Hebrew","<LMWN_DBLTJMH/","NA","plmfn dblvjme","Numeri","33","46"
"Hebrew","<LMWT/","NA","plmfv","Psalmi","9","1"
"Hebrew","<LM[","qal","plm","Psalmi","90","8"
"Hebrew","<LPH/","NA","plqe","Ezechiel","31","15"
"Hebrew","<LP[","pual","plq","Jesaia","51","20"
"Hebrew","<LS[","qal","plo","Iob","20","18"
"Hebrew","<LVH/","NA","plie","Genesis","15","17"
"Hebrew","<LWH/","NA","plfe","Hosea","10","9"
"Hebrew","<LWH=/","NA","plfe","Genesis","36","40"
"Hebrew","<LWMJM/","NA","plfmjm","Jesaia","54","4"
